Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785218083,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785218084,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785218085,10,,Aggregated,0.000000,0.000000,100,220,240,350,700,770,770,770,770,770,770,14,0,94,198.29633571498562,14.189200010150671,769.9826000025496,0.0
1785218086,15,,Aggregated,0.000000,0.000000,100,220,350,400,770,920,920,920,920,920,920,20,0,94,213.70551999862073,14.189200010150671,918.9908999833278,0.0
1785218087,20,,Aggregated,3.000000,0.000000,100,190,260,390,770,920,1400,1400,1400,1400,1400,34,0,94,226.74620882197118,7.191499986220151,1436.605499999132,0.0
1785218088,20,,Aggregated,5.333333,0.000000,94,190,330,370,770,920,1400,1800,1800,1800,1800,56,0,35,236.727549999549,6.615999998757616,1768.1238999939524,0.0
1785218089,20,,Aggregated,7.000000,0.000000,94,200,260,370,700,840,1400,1800,1800,1800,1800,66,0,35,223.99157575582097,5.614599998807535,1768.1238999939524,0.0
1785218090,20,,Aggregated,8.400000,0.000000,94,220,350,390,770,1000,1800,2500,2500,2500,2500,78,0,35,258.6501179470454,5.614599998807535,2507.7481000043917,0.0
1785218091,20,,Aggregated,10.000000,0.000000,94,220,330,380,670,920,1800,2500,2500,2500,2500,96,0,35,238.7530854157376,5.614599998807535,2507.7481000043917,0.0
1785218092,20,,Aggregated,10.571429,0.000000,72,220,340,390,700,1000,1800,1800,2500,2500,2500,112,0,35,254.9864285712309,5.614599998807535,2507.7481000043917,0.0
1785218093,20,,Aggregated,10.750000,0.000000,72,220,350,400,770,1000,1800,1800,2500,2500,2500,124,0,35,260.21856451646477,5.614599998807535,2507.7481000043917,0.0
1785218094,20,,Aggregated,11.333333,0.000000,72,220,330,390,770,1100,1800,1800,2500,2500,2500,136,0,35,254.52295588269516,5.614599998807535,2507.7481000043917,0.0
1785218095,20,,Aggregated,11.800000,0.000000,72,230,340,400,810,1200,1800,2300,2500,2500,2500,158,0,35,268.1943500000774,5.614599998807535,2507.7481000043917,0.0
1785218096,20,,Aggregated,12.600000,0.000000,50,200,310,390,770,1100,1800,2300,2500,2500,2500,168,0,35,255.96833511891808,5.614599998807535,2507.7481000043917,0.0
1785218097,20,,Aggregated,14.000000,0.000000,50,210,330,400,770,1000,1800,2300,2500,2500,2500,184,0,35,251.27341684761316,5.614599998807535,2507.7481000043917,0.0
1785218098,20,,Aggregated,14.800000,0.000000,50,200,330,400,700,1000,1600,1800,2500,2500,2500,204,0,35,242.25244852919678,5.614599998807535,2507.7481000043917,0.0
1785218099,20,,Aggregated,15.200000,0.000000,50,200,330,400,730,1000,1600,1800,2500,2500,2500,218,0,35,241.35459495380994,5.614599998807535,2507.7481000043917,0.0
1785218100,20,,Aggregated,15.400000,0.000000,50,220,350,480,770,1000,1600,1800,2500,2500,2500,234,0,35,248.71087991448445,5.614599998807535,2507.7481000043917,0.0
1785218101,20,,Aggregated,14.600000,0.000000,50,210,350,480,770,1000,1600,1800,2500,2500,2500,246,0,35,251.25360162538283,5.614599998807535,2507.7481000043917,0.0
1785218102,20,,Aggregated,15.000000,0.000000,50,200,370,480,770,1000,1400,1800,2500,2500,2500,268,0,35,248.41734850687953,5.614599998807535,2507.7481000043917,0.0
1785218103,20,,Aggregated,15.200000,0.000000,50,200,350,450,730,1000,1400,1800,2500,2500,2500,282,0,35,241.88175602786734,5.614599998807535,2507.7481000043917,0.0
1785218104,20,,Aggregated,15.800000,0.000000,50,200,350,450,730,1000,1600,2300,2500,2500,2500,292,0,35,245.33651952007037,5.614599998807535,2507.7481000043917,0.0
1785218105,20,,Aggregated,15.800000,0.000000,50,190,340,470,720,1000,1400,1800,2500,2500,2500,310,0,35,241.75015193459038,5.614599998807535,2507.7481000043917,0.0
1785218106,20,,Aggregated,16.000000,0.000000,50,200,350,470,730,1000,1400,1800,2500,2500,2500,320,0,35,243.56856437416354,5.614599998807535,2507.7481000043917,0.0
1785218107,20,,Aggregated,15.200000,0.000000,50,200,340,470,730,1000,1600,2100,2500,2500,2500,338,0,35,244.90858047273073,5.614599998807535,2507.7481000043917,0.0
1785218108,20,,Aggregated,15.400000,0.000000,50,200,340,470,730,1000,1400,2100,2500,2500,2500,360,0,35,245.86087166608195,5.614599998807535,2507.7481000043917,0.0
1785218109,20,,Aggregated,14.800000,0.000000,50,200,340,420,720,1000,1400,2100,2500,2500,2500,372,0,35,241.06326908538475,5.614599998807535,2507.7481000043917,0.0
1785218110,20,,Aggregated,14.600000,0.000000,50,200,340,420,720,980,1400,2100,2500,2500,2500,390,0,35,239.12559922975606,5.614599998807535,2507.7481000043917,0.0
1785218111,20,,Aggregated,15.800000,0.000000,50,200,340,420,720,980,1400,1800,2500,2500,2500,406,0,35,239.66106871841762,5.614599998807535,2507.7481000043917,0.0
1785218112,20,,Aggregated,15.200000,0.000000,50,210,340,430,720,980,1400,1800,2500,2500,2500,422,0,35,241.2326651652508,5.614599998807535,2507.7481000043917,0.0
1785218113,20,,Aggregated,16.000000,0.000000,50,210,350,430,720,1000,1400,2100,2600,2600,2600,440,0,35,244.20009909008513,5.614599998807535,2553.4948999993503,0.0
1785218114,20,,Aggregated,15.000000,0.000000,50,210,360,430,720,980,1400,2100,2600,2600,2600,446,0,35,244.70888968528928,5.614599998807535,2553.4948999993503,0.0
1785218115,20,,Aggregated,15.000000,0.000000,50,210,360,440,720,980,1400,2100,2600,2600,2600,464,0,35,244.77704741309873,5.614599998807535,2553.4948999993503,0.0
1785218116,20,,Aggregated,15.400000,0.000000,50,210,370,470,720,1000,1400,2100,2600,2600,2600,480,0,35,248.53204124938202,5.614599998807535,2553.4948999993503,0.0
1785218117,20,,Aggregated,15.600000,0.000000,50,220,370,450,720,980,1400,2100,2600,2600,2600,500,0,35,245.35006439936114,5.614599998807535,2553.4948999993503,0.0
1785218118,20,,Aggregated,15.800000,0.000000,50,220,370,450,720,940,1400,1900,2600,2600,2600,516,0,35,245.93873410782362,5.614599998807535,2553.4948999993503,0.0
1785218119,20,,Aggregated,16.200000,0.000000,50,220,370,450,720,940,1400,1900,2600,2600,2600,534,0,35,246.1677808983296,5.614599998807535,2553.4948999993503,0.0
1785218120,20,,Aggregated,16.600000,0.000000,50,220,370,440,720,930,1400,1900,2600,2600,2600,548,0,35,244.73578777314202,5.614599998807535,2553.4948999993503,0.0
1785218121,20,,Aggregated,15.600000,0.000000,50,220,370,440,710,930,1400,1900,2600,2600,2600,562,0,35,244.82815836246988,5.614599998807535,2553.4948999993503,0.0
1785218122,20,,Aggregated,16.400000,0.000000,36,220,370,440,720,930,1400,1900,2600,2600,2600,582,0,35,243.8569486249119,5.614599998807535,2553.4948999993503,0.0
1785218123,20,,Aggregated,15.400000,0.000000,36,220,370,430,720,940,1400,1900,2600,2600,2600,596,0,35,243.4429503350199,5.614599998807535,2553.4948999993503,0.0
1785218124,20,,Aggregated,16.000000,0.000000,36,220,370,440,710,930,1300,1800,2600,2600,2600,614,0,35,241.43838957599584,5.614599998807535,2553.4948999993503,0.0
1785218125,20,,Aggregated,16.000000,0.000000,36,220,360,430,700,920,1300,1800,2600,2600,2600,630,0,35,238.74852492008358,5.614599998807535,2553.4948999993503,0.0
1785218126,20,,Aggregated,16.400000,0.000000,36,220,360,430,700,920,1300,1800,2600,2600,2600,644,0,35,237.2781161485245,5.614599998807535,2553.4948999993503,0.0
1785218127,20,,Aggregated,16.800000,0.000000,36,220,370,430,720,940,1300,1800,2600,2600,2600,660,0,35,240.79926196912615,5.614599998807535,2553.4948999993503,0.0
1785218128,20,,Aggregated,16.000000,0.000000,36,220,340,430,710,930,1300,1800,2600,2600,2600,678,0,35,237.32006017642905,5.614599998807535,2553.4948999993503,0.0
1785218129,20,,Aggregated,15.800000,0.000000,36,220,340,420,700,930,1400,1900,3500,3500,3500,692,0,35,240.01083627110683,5.614599998807535,3547.30920001748,0.0
1785218130,20,,Aggregated,16.400000,0.000000,36,220,340,420,700,920,1300,1800,3500,3500,3500,704,0,35,238.9495136358164,5.614599998807535,3547.30920001748,0.0
