elapsed_min,priv_kb,rss_kb,ns_p50_ms,ns_p95_ms,ns_max_ms,st_p50_ms,st_p95_ms,st_max_ms,window_reqs,window_errs,probe_ms,db_sizes
0.5,134992,100888,11.92,16.11,69.22,1214.08,2427.67,4711.77,23424,0,11.96,
5.5,876020,830080,11.34,16.33,378.54,1246.04,2411.62,8704.16,250992,0,17.11,
10.5,1626824,1578192,10.88,15.74,440.28,1234.58,2321.34,7764.82,255262,0,14.41,
15.6,2279972,2219344,11.94,15.34,343.66,1236.77,2245.29,7220.25,226166,0,14.42,
20.5,2579144,2521868,12.27,15.51,134.02,1229.27,2175.89,5885.31,210099,0,15.72,
25.5,2998168,2932584,12.52,15.6,113.59,1223.83,2294.1,6322.0,209836,0,10.41,
30.6,3281884,3207560,12.96,16.17,161.69,1247.87,2317.26,6880.42,208630,0,9.73,
35.6,4032220,3965568,11.06,14.54,159.41,1248.78,2423.94,6653.86,265862,0,14.78,
40.5,4088808,3959800,11.0,14.74,152.53,1251.03,2344.29,6418.29,261426,0,34.04,
45.5,4254776,4070700,10.59,14.1,135.18,1229.48,2265.72,6497.05,279723,0,12.05,
50.6,4283324,4007912,10.66,14.13,250.94,1256.0,2304.1,7445.45,260179,0,13.4,
55.6,4319452,1400804,10.85,13.9,90.37,1229.51,2245.13,9810.31,252753,0,10.35,
60.5,4526656,3870560,10.26,13.16,137.43,1231.22,2318.3,6276.1,288788,0,11.41,
65.6,4569280,662304,10.19,13.16,125.5,1217.89,2245.73,6092.28,290977,0,15.97,
70.5,4764228,311832,10.45,13.36,90.89,1235.58,2313.18,7253.65,281069,0,15.49,
75.5,4780984,4702916,10.09,12.86,112.92,1250.0,2295.44,7734.1,316442,0,10.77,
80.6,4741224,4648620,10.66,14.42,168.8,1228.26,2175.71,7297.47,273244,0,13.77,
85.6,4733584,4443932,12.21,16.69,114.29,1222.89,2299.22,8198.31,233710,0,30.42,
